epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.50835,2.35881,5.53652,2.15793,0.00548,0.41071,0.00396,0.00154,2.16183,5.28451,2.24155,4e-05,4e-05,4e-05
2,4.11484,2.47444,5.41055,2.19925,0.005,0.375,0.00347,0.00135,2.18668,5.2926,2.25763,9.802e-05,9.802e-05,9.802e-05
3,5.64023,2.64957,6.00987,2.22455,0.4327,0.45833,0.42689,0.18629,1.72376,3.96954,1.81594,0.000153664,0.000153664,0.000153664
4,7.35124,1.57727,2.67336,1.3438,0.81753,0.80952,0.86706,0.42957,1.50801,3.23451,1.31544,0.000206932,0.000206932,0.000206932
5,9.10523,1.45593,1.79321,1.25761,0.89552,0.89881,0.95479,0.57438,1.28297,3.00163,1.27785,0.000257824,0.000257824,0.000257824
6,10.7995,1.24185,1.63049,1.20517,0.94762,0.95833,0.98865,0.62923,1.2085,2.24174,1.25255,0.00030634,0.00030634,0.00030634
7,12.4956,1.28789,1.41023,1.2059,0.8787,0.90549,0.92224,0.59597,1.23124,2.15444,1.33219,0.00035248,0.00035248,0.00035248
8,14.1132,1.31485,1.12175,1.23124,0.71109,0.79112,0.73745,0.44469,1.25939,2.25601,1.34155,0.000396244,0.000396244,0.000396244
9,15.7234,1.27604,1.12397,1.22421,0.43706,0.90476,0.46234,0.28922,1.25438,2.47441,1.36024,0.000437632,0.000437632,0.000437632
10,17.4965,1.2359,1.00011,1.1997,0.33576,0.91071,0.34179,0.21205,1.24104,2.90686,1.36585,0.000476644,0.000476644,0.000476644
11,19.1069,1.19977,0.86455,1.13249,0.26279,0.8631,0.26344,0.17486,1.16941,3.57317,1.29444,0.00051328,0.00051328,0.00051328
12,20.6981,1.16776,0.87371,1.14383,0.4142,0.92857,0.418,0.28486,1.14603,2.93279,1.28305,0.00054754,0.00054754,0.00054754
13,22.4753,1.23241,0.83642,1.17203,0.21721,0.80952,0.21017,0.14054,1.16341,3.68073,1.29062,0.000579424,0.000579424,0.000579424
14,24.0617,1.12616,1.08142,1.1459,0.23425,0.80952,0.2379,0.15688,1.17556,3.31412,1.29714,0.000608932,0.000608932,0.000608932
15,25.6068,1.20523,0.91015,1.2225,0.33142,0.76786,0.32601,0.22237,1.16573,2.41043,1.28298,0.000636064,0.000636064,0.000636064
16,27.1475,1.07669,0.75867,1.13067,0.15621,0.73214,0.14751,0.09655,1.29842,3.0499,1.36037,0.00066082,0.00066082,0.00066082
17,28.6796,1.14969,0.74394,1.13855,0.26894,0.85714,0.26646,0.18063,1.14326,1.95422,1.21558,0.0006832,0.0006832,0.0006832
18,30.2305,1.10674,0.70466,1.10031,0.32659,0.8487,0.32335,0.22516,1.09729,1.70832,1.19395,0.000703204,0.000703204,0.000703204
19,31.7583,1.08628,0.68065,1.15273,0.41402,0.78571,0.47221,0.32297,1.18825,1.44824,1.2701,0.000720832,0.000720832,0.000720832
20,33.475,1.08763,0.64943,1.0578,0.82223,0.79167,0.86648,0.52486,1.48321,1.29855,1.50535,0.000736084,0.000736084,0.000736084
21,35.0003,1.06937,0.64681,1.10716,0.95939,0.8631,0.95141,0.62912,1.30387,1.14895,1.3554,0.00074896,0.00074896,0.00074896
22,36.5235,1.03896,0.60887,1.08403,0.89329,0.79762,0.89386,0.60806,1.24288,1.20689,1.30577,0.00075946,0.00075946,0.00075946
23,38.2583,1.05996,0.62917,1.06098,0.86405,0.83226,0.88221,0.57394,1.28042,1.08484,1.32483,0.000767584,0.000767584,0.000767584
24,39.7665,1.06869,0.60264,1.08164,0.92068,0.97024,0.97064,0.70744,1.05026,0.86379,1.17892,0.000773332,0.000773332,0.000773332
25,41.3367,1.08548,0.66115,1.20624,0.86442,0.94877,0.88802,0.648,1.00324,0.96173,1.13423,0.000776704,0.000776704,0.000776704
26,43.0473,1.12778,0.63399,1.1222,0.68743,0.89021,0.717,0.51843,1.03299,1.05825,1.17453,0.0007777,0.0007777,0.0007777
27,44.5536,1.09441,0.60654,1.14588,0.69865,0.8694,0.74401,0.54554,0.99845,0.93982,1.14253,0.00077632,0.00077632,0.00077632
28,46.2789,1.08161,0.60157,1.15103,0.98212,0.98078,0.99453,0.71533,1.00991,0.70293,1.13586,0.000772564,0.000772564,0.000772564
29,47.8513,1.11418,0.58177,1.12571,0.98212,0.98078,0.99453,0.71533,1.00991,0.70293,1.13586,0.000766432,0.000766432,0.000766432
30,49.3932,1.10469,0.56774,1.07573,0.99886,1,0.995,0.73763,0.95495,0.63869,1.10432,0.000757924,0.000757924,0.000757924
31,50.9668,1.03151,0.57321,1.04069,0.99891,1,0.995,0.73657,1.01937,0.60975,1.16347,0.00074704,0.00074704,0.00074704
32,52.6414,1.00231,0.59545,1.0984,0.99629,0.9881,0.99482,0.74066,0.99472,0.59586,1.13722,0.00073378,0.00073378,0.00073378
33,54.1964,0.97943,0.55007,1.05264,0.99629,0.9881,0.99482,0.74066,0.99472,0.59586,1.13722,0.000718144,0.000718144,0.000718144
34,55.7319,1.0447,0.58219,1.10477,0.99969,1,0.995,0.74373,0.96717,0.55046,1.12118,0.0006932,0.0006932,0.0006932
35,57.4353,1.01347,0.55159,1.08129,0.99924,1,0.995,0.7575,0.92471,0.55946,1.08494,0.0006536,0.0006536,0.0006536
36,58.9795,0.97742,0.53996,1.03481,1,0.99877,0.995,0.72306,1.02214,0.5721,1.143,0.000614,0.000614,0.000614
37,60.4452,0.96004,0.526,1.05953,1,0.99877,0.995,0.72306,1.02214,0.5721,1.143,0.0005744,0.0005744,0.0005744
38,61.9522,1.04193,0.53601,1.04084,0.98971,0.99405,0.99494,0.71964,1.03238,0.55147,1.15678,0.0005348,0.0005348,0.0005348
39,63.6315,0.96213,0.51613,1.05005,0.99408,0.99904,0.99494,0.75792,0.93329,0.5218,1.09833,0.0004952,0.0004952,0.0004952
40,65.1739,0.91706,0.49931,1.02206,0.9904,0.99405,0.99488,0.76046,0.88688,0.53606,1.05465,0.0004556,0.0004556,0.0004556
41,67.2758,0.85305,0.49769,1.07351,0.9904,0.99405,0.99488,0.76046,0.88688,0.53606,1.05465,0.000416,0.000416,0.000416
