epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.3807,1.64603,4.07457,1.57924,0.25645,0.12251,0.21361,0.15096,0.9642,3.56838,1.07228,2.5e-05,2.5e-05,2.5e-05
2,2.33305,1.4228,4.08758,1.46893,0.26031,0.28839,0.35321,0.25119,0.92943,3.08998,1.04073,6.21906e-05,6.21906e-05,6.21906e-05
3,3.35851,1.53015,3.55043,1.52956,0.35358,0.70833,0.51761,0.38834,1.04079,2.31676,1.11192,9.901e-05,9.901e-05,9.901e-05
4,4.38254,1.29087,2.20859,1.32748,0.81389,0.91154,0.88727,0.63405,1.091,2.61329,1.10307,0.000135458,0.000135458,0.000135458
5,5.44103,1.13998,1.51957,1.14633,0.71378,0.87156,0.92437,0.6453,0.97067,2.05112,1.00858,0.000171535,0.000171535,0.000171535
6,6.50086,1.26657,1.50457,1.23636,0.80162,0.73946,0.83525,0.53982,1.08692,2.12631,1.06878,0.000207241,0.000207241,0.000207241
7,7.4576,1.28061,1.3565,1.17491,0.80006,0.83333,0.86811,0.62757,1.02901,1.67717,1.08866,0.000242575,0.000242575,0.000242575
8,8.42136,1.20672,1.09829,1.11138,0.81891,0.92402,0.90237,0.67753,0.93237,1.60401,1.06315,0.000277538,0.000277538,0.000277538
9,9.44535,1.10426,1.11954,1.10664,0.92899,0.98924,0.98929,0.70177,1.05113,1.4014,1.08635,0.00031213,0.00031213,0.00031213
10,10.4407,1.14825,1.10564,1.14884,0.89492,1,0.98929,0.68572,1.09495,1.35379,1.09012,0.000346351,0.000346351,0.000346351
11,11.4037,1.19531,0.98218,1.10644,0.88914,0.92456,0.95843,0.65934,1.11945,1.60702,1.1467,0.0003802,0.0003802,0.0003802
12,12.384,1.12269,0.96183,1.11352,0.87401,0.83157,0.95514,0.70102,1.07498,1.7402,1.18429,0.000413678,0.000413678,0.000413678
13,13.3598,1.1367,0.92298,1.13494,0.80409,1,0.95714,0.67346,1.07093,1.63625,1.18943,0.000446785,0.000446785,0.000446785
14,14.3108,1.10275,0.90886,1.16018,0.87591,0.93793,0.96714,0.68556,1.13161,1.45833,1.24531,0.000479521,0.000479521,0.000479521
15,15.2456,1.14993,0.96394,1.15641,0.82182,0.95666,0.9581,0.62595,1.16207,1.25952,1.29091,0.000511885,0.000511885,0.000511885
16,16.187,1.10951,0.90019,1.14068,0.85741,0.9962,0.97192,0.6848,1.05609,1.03017,1.22414,0.000543878,0.000543878,0.000543878
17,17.1177,1.06351,0.84516,1.11755,0.97236,0.87148,0.96929,0.69584,1.0963,1.03891,1.26443,0.0005755,0.0005755,0.0005755
18,18.0442,1.14568,0.81019,1.15815,0.80314,0.95833,0.98929,0.72075,1.03857,1.01442,1.21299,0.000606751,0.000606751,0.000606751
19,19.0191,1.13654,0.82057,1.13466,0.95626,0.99536,0.995,0.72576,1.0412,0.82151,1.20095,0.00063763,0.00063763,0.00063763
20,19.9891,1.06994,0.72273,1.09866,0.93629,0.95892,0.995,0.70234,1.09383,0.76469,1.22387,0.000668138,0.000668138,0.000668138
21,20.9479,1.05111,0.71473,1.09975,0.92445,0.94992,0.98929,0.7277,1.02417,0.76614,1.27582,0.000698275,0.000698275,0.000698275
22,21.9286,1.11732,0.78135,1.15223,0.95952,0.97386,0.995,0.73445,1.01032,0.74205,1.2385,0.000728041,0.000728041,0.000728041
23,22.8924,1.07856,0.73909,1.08038,0.9707,0.95833,0.985,0.75213,1.04629,0.73436,1.20036,0.000757435,0.000757435,0.000757435
24,23.8672,1.09117,0.76035,1.11224,0.94836,0.95114,0.98167,0.71206,1.06723,0.72233,1.24208,0.000786458,0.000786458,0.000786458
25,24.8058,1.05707,0.8029,1.20023,0.85293,0.96546,0.995,0.73528,1.10335,0.90445,1.28446,0.00081511,0.00081511,0.00081511
26,25.7347,1.08975,0.69866,1.0833,0.83331,0.98163,0.995,0.69904,1.18793,0.94052,1.35397,0.000843391,0.000843391,0.000843391
27,26.6589,1.05137,0.71395,1.13289,0.91631,0.98555,0.98929,0.68132,1.2969,0.72832,1.47465,0.0008713,0.0008713,0.0008713
28,27.5983,1.01689,0.7214,1.11874,0.97586,0.9033,0.98929,0.64673,1.3042,0.78718,1.36643,0.000898838,0.000898838,0.000898838
29,28.5371,1.01208,0.71109,1.11075,0.97586,0.9033,0.98929,0.64673,1.3042,0.78718,1.36643,0.000926005,0.000926005,0.000926005
30,29.4759,0.93885,0.66968,1.02638,0.93949,0.92793,0.98929,0.65194,1.38173,0.92044,1.43039,0.000952801,0.000952801,0.000952801
31,30.402,1.01495,0.69646,1.06786,0.93464,0.87639,0.995,0.68628,1.31247,0.89117,1.48811,0.000979225,0.000979225,0.000979225
32,31.3175,1.00118,0.72307,1.12605,0.83594,0.87526,0.98321,0.6468,1.38151,0.93093,1.6082,0.00100528,0.00100528,0.00100528
33,32.244,0.97653,0.70496,1.07898,0.83594,0.87526,0.98321,0.6468,1.38151,0.93093,1.6082,0.00103096,0.00103096,0.00103096
34,33.1646,1.02286,0.71047,1.11087,0.89485,0.88752,0.995,0.568,1.52236,1.10129,1.63337,0.00104581,0.00104581,0.00104581
35,34.0902,0.98266,0.64727,1.09079,0.92931,0.94463,0.98929,0.63285,1.42406,0.95442,1.45351,0.00103962,0.00103962,0.00103962
36,35.0072,0.98939,0.66466,1.05429,0.73046,0.93985,0.995,0.68612,1.29425,1.10757,1.40554,0.00103344,0.00103344,0.00103344
37,35.9273,0.92922,0.61656,1.08623,0.73046,0.93985,0.995,0.68612,1.29425,1.10757,1.40554,0.00102725,0.00102725,0.00102725
38,36.8576,0.95491,0.65678,1.03834,0.77485,0.95569,0.995,0.65747,1.27814,1.03391,1.44862,0.00102106,0.00102106,0.00102106
39,37.7766,0.93819,0.60132,1.04688,0.84786,0.96498,0.995,0.56778,1.58441,1.03249,1.88284,0.00101488,0.00101488,0.00101488
40,38.6941,1.00596,0.62012,1.08803,0.95652,0.91741,0.995,0.64101,1.35883,0.86039,1.68212,0.00100869,0.00100869,0.00100869
41,39.6051,1.00469,0.62149,1.11382,0.95652,0.91741,0.995,0.64101,1.35883,0.86039,1.68212,0.0010025,0.0010025,0.0010025
42,40.5236,0.90416,0.5758,1.05782,0.85536,1,0.995,0.70344,1.14986,1.01637,1.49216,0.000996313,0.000996313,0.000996313
43,41.4568,0.89783,0.59432,1.02581,0.95829,1,0.995,0.72707,1.10993,0.86793,1.45437,0.000990125,0.000990125,0.000990125
44,42.3742,0.94023,0.5821,1.03306,0.94379,1,0.995,0.77476,0.97397,0.61506,1.19897,0.000983938,0.000983938,0.000983938
45,43.3531,0.91539,0.62316,1.06346,0.94379,1,0.995,0.77476,0.97397,0.61506,1.19897,0.00097775,0.00097775,0.00097775
46,44.324,0.90328,0.55315,1.04338,0.97661,1,0.995,0.72413,1.1053,0.54493,1.23323,0.000971562,0.000971562,0.000971562
47,45.2399,0.94279,0.56185,1.01684,0.96615,1,0.995,0.68596,1.1821,0.57416,1.27713,0.000965375,0.000965375,0.000965375
48,46.1617,0.94183,0.59533,1.00553,0.98205,0.99859,0.995,0.7099,1.11379,0.59157,1.23829,0.000959187,0.000959187,0.000959187
49,47.0812,0.90559,0.56507,1.05834,0.98205,0.99859,0.995,0.7099,1.11379,0.59157,1.23829,0.000953,0.000953,0.000953
50,47.9988,0.91641,0.54529,1.01814,0.98094,0.99909,0.995,0.69087,1.10678,0.56804,1.21673,0.000946812,0.000946812,0.000946812
51,48.9121,0.87976,0.58757,1.03248,0.95733,1,0.995,0.71298,1.08115,0.51911,1.18611,0.000940625,0.000940625,0.000940625
52,49.8342,0.91813,0.56243,1.05913,0.9542,0.99407,0.995,0.71641,1.06603,0.52683,1.16775,0.000934438,0.000934438,0.000934438
53,50.7752,0.92401,0.5882,1.07383,0.9542,0.99407,0.995,0.71641,1.06603,0.52683,1.16775,0.00092825,0.00092825,0.00092825
54,51.7366,0.89716,0.53273,1.02168,0.97075,1,0.995,0.73181,1.01771,0.52589,1.19039,0.000922063,0.000922063,0.000922063
55,52.6769,0.92356,0.55659,1.05494,0.98283,1,0.995,0.77992,0.89601,0.51093,1.16922,0.000915875,0.000915875,0.000915875
56,53.6307,0.83755,0.56068,1.04308,0.98414,1,0.995,0.7837,0.93899,0.52777,1.17454,0.000909688,0.000909688,0.000909688
57,54.5795,0.95494,0.58542,1.08713,0.98414,1,0.995,0.7837,0.93899,0.52777,1.17454,0.0009035,0.0009035,0.0009035
58,55.5793,0.88769,0.54585,0.9994,0.97381,1,0.995,0.735,1.0493,0.49833,1.23801,0.000897313,0.000897313,0.000897313
59,56.5149,0.86274,0.54108,1.01888,0.97135,1,0.995,0.73223,1.05355,0.51514,1.22059,0.000891125,0.000891125,0.000891125
60,57.4282,0.87186,0.55131,1.01426,0.96603,1,0.995,0.73934,1.05445,0.50257,1.16814,0.000884938,0.000884938,0.000884938
61,58.3487,0.89097,0.57688,1.06619,0.96603,1,0.995,0.73934,1.05445,0.50257,1.16814,0.00087875,0.00087875,0.00087875
62,59.2821,0.78661,0.52815,0.99579,0.94828,1,0.995,0.7352,1.02635,0.50699,1.17413,0.000872563,0.000872563,0.000872563
63,60.2373,0.83075,0.50677,1.01253,0.94507,1,0.995,0.72912,1.02026,0.50977,1.18692,0.000866375,0.000866375,0.000866375
64,61.1748,0.83886,0.5353,1.00803,0.94424,1,0.995,0.72328,1.02678,0.51917,1.17372,0.000860188,0.000860188,0.000860188
65,62.1177,0.7974,0.5094,0.96891,0.94424,1,0.995,0.72328,1.02678,0.51917,1.17372,0.000854,0.000854,0.000854
66,63.0648,0.82117,0.49415,0.99846,0.95717,1,0.995,0.7264,1.03553,0.50415,1.15256,0.000847813,0.000847813,0.000847813
67,64.0067,0.79736,0.49808,0.98798,0.96889,1,0.995,0.7524,1.01358,0.48364,1.15734,0.000841625,0.000841625,0.000841625
68,64.9271,0.80315,0.50784,1.01754,0.97578,1,0.995,0.75176,0.95912,0.44394,1.18673,0.000835438,0.000835438,0.000835438
69,65.8832,0.84923,0.50263,1.00979,0.97578,1,0.995,0.75176,0.95912,0.44394,1.18673,0.00082925,0.00082925,0.00082925
70,66.8119,0.79238,0.50506,0.98394,0.97926,1,0.995,0.76955,0.92223,0.44496,1.17452,0.000823063,0.000823063,0.000823063
71,67.7672,0.77346,0.51028,0.99611,0.98052,1,0.995,0.75886,0.94523,0.44978,1.20792,0.000816875,0.000816875,0.000816875
72,68.6912,0.78213,0.4932,0.97782,0.96821,1,0.995,0.74961,0.96085,0.44831,1.20466,0.000810688,0.000810688,0.000810688
73,69.6237,0.78455,0.48967,1.0009,0.96821,1,0.995,0.74961,0.96085,0.44831,1.20466,0.0008045,0.0008045,0.0008045
74,70.5529,0.75964,0.47915,0.98531,0.97404,1,0.995,0.72546,1.06693,0.47635,1.26468,0.000798313,0.000798313,0.000798313
75,71.4868,0.72409,0.4523,0.9377,0.96095,1,0.995,0.73972,0.99384,0.48579,1.20242,0.000792125,0.000792125,0.000792125
76,72.3995,0.79048,0.50949,1.00999,0.95315,0.97832,0.995,0.76694,0.9263,0.52026,1.16375,0.000785938,0.000785938,0.000785938
77,73.3184,0.74327,0.4793,0.97001,0.95315,0.97832,0.995,0.76694,0.9263,0.52026,1.16375,0.00077975,0.00077975,0.00077975
78,74.2442,0.73681,0.4735,0.99416,0.96673,1,0.995,0.76928,0.90381,0.45424,1.15487,0.000773563,0.000773563,0.000773563
79,75.1669,0.7524,0.46751,0.96315,0.97413,1,0.995,0.76404,0.93285,0.44143,1.16039,0.000767375,0.000767375,0.000767375
80,76.0821,0.85235,0.4937,1.04233,0.97804,1,0.995,0.75613,0.99951,0.445,1.18342,0.000761188,0.000761188,0.000761188
81,76.9933,0.79787,0.4772,0.98722,0.97804,1,0.995,0.75613,0.99951,0.445,1.18342,0.000755,0.000755,0.000755
82,77.9133,0.75102,0.47516,0.97999,0.9812,1,0.995,0.71311,1.04054,0.45455,1.1956,0.000748813,0.000748813,0.000748813
83,78.8345,0.76326,0.45104,1.00796,0.98361,1,0.995,0.71706,0.96431,0.46593,1.15208,0.000742625,0.000742625,0.000742625
84,79.7645,0.73704,0.46952,0.99843,0.98153,1,0.995,0.74407,0.92251,0.44355,1.14649,0.000736438,0.000736438,0.000736438
85,80.6756,0.73539,0.48341,0.98377,0.98153,1,0.995,0.74407,0.92251,0.44355,1.14649,0.00073025,0.00073025,0.00073025
86,81.5952,0.70816,0.43126,0.97771,0.97481,1,0.995,0.72379,0.96101,0.45867,1.17285,0.000724062,0.000724062,0.000724062
87,82.5164,0.73909,0.47289,0.99472,0.94508,0.99263,0.995,0.71772,1.0015,0.47394,1.19925,0.000717875,0.000717875,0.000717875
88,83.4259,0.7926,0.5072,1.01872,0.9733,1,0.995,0.71277,1.05268,0.45503,1.18437,0.000711687,0.000711687,0.000711687
