epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.02848,1.87093,2.45068,3.73933,1.29496,0.01298,0.2716,0.01025,0.0053,0.01355,0.29012,0.01081,0.00619,1.18773,1.44354,3.7128,1.02776,2.858e-05,2.858e-05,2.858e-05
2,3.25697,1.87156,2.46206,3.73485,1.26585,0.01264,0.2716,0.01075,0.00551,0.01341,0.28549,0.01233,0.00668,1.22017,1.43176,3.70561,1.03704,7.10963e-05,7.10963e-05,7.10963e-05
3,4.50169,1.445,1.98864,3.1173,1.13316,0.86265,0.49383,0.67611,0.51003,0.86265,0.49383,0.67969,0.43333,0.92641,0.95579,1.75321,0.8705,0.000113188,0.000113188,0.000113188
4,5.86257,0.99725,1.21949,1.40888,0.91635,0.59651,0.70569,0.87619,0.66944,0.59651,0.70569,0.87619,0.56725,0.80774,0.84781,3.97269,0.82861,0.000154856,0.000154856,0.000154856
5,7.27457,0.94393,1.13963,1.04869,0.896,0.77672,0.8493,0.94711,0.75016,0.77118,0.83695,0.93698,0.6102,0.72438,0.89876,2.87225,0.81663,0.000196099,0.000196099,0.000196099
6,8.60911,0.88125,1.05802,0.90098,0.8953,0.84781,0.87133,0.92222,0.71661,0.84781,0.87133,0.92797,0.61109,0.78023,0.88617,1.68186,0.83193,0.000236917,0.000236917,0.000236917
7,9.89877,0.89948,1.08276,0.83918,0.88453,0.88267,0.8239,0.94466,0.70148,0.87175,0.81191,0.93254,0.55816,0.82948,1.00343,1.10802,0.82677,0.000277312,0.000277312,0.000277312
8,11.1989,0.90973,1.01667,0.75741,0.87696,0.9097,0.9083,0.95879,0.74946,0.9097,0.9083,0.95879,0.6231,0.74632,0.94624,0.90877,0.82018,0.000317282,0.000317282,0.000317282
9,12.5309,0.84638,0.99403,0.70667,0.86249,0.96453,0.91358,0.9657,0.80525,0.96453,0.91358,0.96639,0.69898,0.69213,0.83374,0.75829,0.8226,0.000356827,0.000356827,0.000356827
10,13.8732,0.87694,0.95786,0.71526,0.87284,0.7698,0.89637,0.83294,0.69064,0.7698,0.89637,0.83443,0.58612,0.65788,0.77592,0.8628,0.81199,0.000395948,0.000395948,0.000395948
11,15.1705,0.90189,1.01405,0.66534,0.87369,0.71077,0.81891,0.81148,0.62947,0.71077,0.81891,0.81148,0.51643,0.78884,0.82515,1.07219,0.82657,0.000434645,0.000434645,0.000434645
12,16.4712,0.83887,0.89509,0.68249,0.85884,0.54531,0.74348,0.66644,0.52915,0.54531,0.74348,0.66644,0.45712,0.74162,0.78996,1.19808,0.81443,0.000472917,0.000472917,0.000472917
13,17.7549,0.85119,0.92823,0.65747,0.87251,0.54362,0.64481,0.56923,0.48196,0.54362,0.64481,0.56923,0.42077,0.66103,0.74889,1.2528,0.81317,0.000510765,0.000510765,0.000510765
14,19.0801,0.85082,1.05962,0.65147,0.87428,0.673,0.65867,0.69983,0.60221,0.673,0.65867,0.69983,0.50728,0.65393,0.87927,1.12695,0.80982,0.000548188,0.000548188,0.000548188
15,20.3504,0.79577,0.91817,0.62388,0.88144,0.92413,0.8213,0.92752,0.75888,0.92413,0.8213,0.92752,0.65107,0.69064,0.7886,0.72835,0.81361,0.000585187,0.000585187,0.000585187
16,21.64,0.80003,0.97796,0.56426,0.8772,0.9558,0.87354,0.95092,0.75661,0.9558,0.87354,0.95092,0.67484,0.71615,0.80798,0.65865,0.82416,0.000621761,0.000621761,0.000621761
17,22.9117,0.7885,0.91269,0.55674,0.8641,0.89436,0.89772,0.97306,0.79371,0.89436,0.89772,0.97306,0.67592,0.65448,0.82401,0.65816,0.80184,0.000657912,0.000657912,0.000657912
18,24.2105,0.83507,1.06305,0.56102,0.88095,0.94634,0.8446,0.97174,0.77069,0.94634,0.8446,0.97174,0.6707,0.73385,0.74979,0.61139,0.82377,0.000693637,0.000693637,0.000693637
19,25.5174,0.86246,1.0295,0.59435,0.88836,0.88389,0.86702,0.98657,0.76913,0.88389,0.86702,0.98657,0.66921,0.73101,0.82964,0.63875,0.82713,0.000728939,0.000728939,0.000728939
20,26.8473,0.7578,0.88314,0.52189,0.85066,0.84428,0.84291,0.97562,0.78392,0.85372,0.86081,0.98768,0.6697,0.71876,0.78197,0.72137,0.8208,0.000763816,0.000763816,0.000763816
21,28.1485,0.82377,0.90951,0.52564,0.86051,0.88192,0.80302,0.96562,0.79702,0.85896,0.81091,0.97901,0.6627,0.65268,0.91613,0.70789,0.80885,0.000798268,0.000798268,0.000798268
22,29.4225,0.79374,0.93792,0.52894,0.85968,0.73731,0.76478,0.93596,0.75049,0.77096,0.78065,0.95546,0.69426,0.70047,0.92213,0.70372,0.8281,0.000832296,0.000832296,0.000832296
