epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.19407,1.43272,14.2195,3.52533,1.09316,0.08653,0.10227,0.05324,0.04251,0.08653,0.10227,0.05324,0.0402,0.88588,16.2876,3.48668,0.92809,3.334e-05,3.334e-05,3.334e-05
2,3.53887,1.46851,13.4037,3.56811,1.11001,0.08953,0.11269,0.061,0.04699,0.08328,0.10748,0.05612,0.04305,0.9023,16.438,3.46121,0.93443,8.29374e-05,8.29374e-05,8.29374e-05
3,4.86075,1.55002,10.6442,3.4617,1.17783,0.68654,0.20312,0.17008,0.10648,0.54403,0.12122,0.01786,0.0087,1.10302,5.27531,2.11689,0.98882,0.00013204,0.00013204,0.00013204
4,6.35378,1.39872,5.36798,2.0175,1.0591,0.90381,0.26562,0.32523,0.23547,0.61994,0.19271,0.14798,0.044,0.85311,5.30818,5.91308,0.88887,0.000180647,0.000180647,0.000180647
5,7.86394,1.02323,4.99679,1.24339,0.90678,0.78335,0.46544,0.47183,0.3727,0.77407,0.46023,0.43766,0.1681,0.74573,5.31287,1.75072,0.8428,0.000228759,0.000228759,0.000228759
6,9.30972,0.94122,4.88284,0.89958,0.87927,0.9443,0.46023,0.5047,0.39652,0.9443,0.46023,0.49184,0.25715,0.76882,6.03577,0.90321,0.84074,0.000276376,0.000276376,0.000276376
7,10.7215,0.97081,4.87438,0.84054,0.87929,0.87725,0.4815,0.51222,0.3877,0.66172,0.35161,0.31385,0.18357,0.78968,4.80392,0.84267,0.82742,0.000323498,0.000323498,0.000323498
8,12.1532,1.00251,4.8516,0.72391,0.86303,0.9153,0.47522,0.5684,0.44729,0.87637,0.45796,0.495,0.21678,0.75278,4.77999,0.69636,0.82111,0.000370125,0.000370125,0.000370125
9,13.5682,0.93828,4.72794,0.69426,0.85712,0.92339,0.4839,0.56526,0.42538,0.73644,0.384,0.34273,0.14286,0.82074,4.77433,0.82727,0.82147,0.000416257,0.000416257,0.000416257
10,14.9409,0.98705,4.83384,0.70323,0.86827,0.91502,0.50046,0.56926,0.39073,0.73503,0.39434,0.36752,0.17769,0.83791,5.16351,0.94173,0.82381,0.000461893,0.000461893,0.000461893
