epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.17388,2.05228,11.9207,3.74505,1.27566,0.00431,0.025,0.00242,0.00159,0.00431,0.025,0.00242,0.00142,1.39183,14.0238,3.91362,0.98787,2.858e-05,2.858e-05,2.858e-05
2,3.84242,2.05374,11.9898,3.72804,1.24191,0.00514,0.02778,0.00291,0.00169,0.00579,0.03333,0.00325,0.00163,1.43508,13.96,3.90252,0.99195,7.10963e-05,7.10963e-05,7.10963e-05
3,5.31065,2.1151,12.3709,3.82415,1.26364,0.01159,0.07507,0.00671,0.00409,0.0106,0.06951,0.00588,0.00278,1.36147,6.04379,3.27855,1.0823,0.000113188,0.000113188,0.000113188
4,6.9564,1.74053,5.16607,2.98829,1.08774,0.73464,0.26915,0.31264,0.20606,0.69051,0.24114,0.22897,0.10741,1.04793,5.29719,2.12948,0.88074,0.000154856,0.000154856,0.000154856
5,8.66583,1.23074,4.81504,1.50459,0.91338,0.36711,0.56001,0.47703,0.34927,0.32889,0.45696,0.41077,0.19602,0.86691,5.34592,2.51215,0.84078,0.000196099,0.000196099,0.000196099
6,10.3501,1.21052,4.91359,1.06504,0.92207,0.57822,0.4514,0.47293,0.3411,0.57822,0.4514,0.43769,0.20289,0.94039,5.22864,2.40043,0.84672,0.000236917,0.000236917,0.000236917
7,11.9501,1.14088,4.83487,0.97596,0.88722,0.69849,0.45532,0.4815,0.38198,0.69559,0.45252,0.4717,0.25146,0.80897,4.94443,1.88588,0.81426,0.000277312,0.000277312,0.000277312
8,13.5998,1.22205,4.82293,0.83027,0.88064,0.43564,0.31814,0.31246,0.23641,0.43066,0.31246,0.30339,0.15209,0.85141,5.57669,2.17533,0.81593,0.000317282,0.000317282,0.000317282
9,15.1431,1.13451,4.56795,0.80631,0.87119,0.72657,0.40415,0.45491,0.35924,0.71749,0.39855,0.43802,0.2441,0.83783,5.27863,1.09003,0.80444,0.000356827,0.000356827,0.000356827
10,16.7001,1.20743,4.72659,0.75709,0.89325,0.92231,0.45959,0.56167,0.414,0.90625,0.45159,0.50262,0.2762,0.85949,5.21229,0.75754,0.81005,0.000395948,0.000395948,0.000395948
11,18.3416,1.18866,4.68959,0.73804,0.87436,0.69811,0.49634,0.42007,0.31158,0.63234,0.45295,0.34525,0.143,0.91464,5.36403,1.34654,0.82385,0.000434645,0.000434645,0.000434645
12,19.9023,1.13579,4.77579,0.72946,0.87594,0.95673,0.47626,0.55447,0.41154,0.94681,0.47047,0.51224,0.26161,0.91906,5.91795,0.7202,0.82168,0.000472917,0.000472917,0.000472917
13,21.4974,1.10792,4.64517,0.69409,0.87667,0.93033,0.44694,0.56,0.38415,0.9006,0.42621,0.4638,0.2114,0.92445,5.69532,0.77441,0.82442,0.000510765,0.000510765,0.000510765
14,23.1197,1.0725,4.5236,0.67431,0.865,0.75144,0.45066,0.4418,0.31608,0.6944,0.39981,0.3442,0.17824,0.84484,5.24026,1.317,0.81275,0.000548188,0.000548188,0.000548188
15,24.6552,1.05713,4.5109,0.6963,0.87258,0.59747,0.4538,0.3498,0.25217,0.42308,0.31139,0.20241,0.0838,1.01774,5.95227,1.31243,0.84245,0.000585187,0.000585187,0.000585187
16,26.3279,1.04806,4.5042,0.67906,0.86507,0.81698,0.47538,0.55979,0.39971,0.69219,0.37746,0.37783,0.14111,1.03851,6.59823,0.96452,0.85307,0.000621761,0.000621761,0.000621761
17,27.9194,1.00766,4.43874,0.67212,0.85479,0.89693,0.42256,0.5458,0.39397,0.74732,0.3642,0.41,0.16369,0.89394,5.43218,1.04299,0.82629,0.000657912,0.000657912,0.000657912
