epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.04587,1.94835,2.55215,3.74059,1.26167,0.00618,0.06265,0.00366,0.0024,0.00765,0.07654,0.00476,0.00268,1.23794,1.44836,3.72439,0.98856,2.858e-05,2.858e-05,2.858e-05
2,3.55968,1.88746,2.38953,3.68559,1.23272,0.00678,0.07654,0.00436,0.00247,0.00788,0.09043,0.00524,0.00277,1.25321,1.42708,3.70929,0.99072,7.10963e-05,7.10963e-05,7.10963e-05
3,5.04815,1.41369,1.77616,3.00199,1.0514,0.45762,0.78324,0.70014,0.47259,0.45762,0.78324,0.69969,0.3713,1.10561,1.46312,1.9144,0.86626,0.000113188,0.000113188,0.000113188
4,6.74199,1.07072,1.3067,1.2908,0.88587,0.80613,0.95767,0.94173,0.74056,0.80613,0.95767,0.94173,0.58476,0.78734,0.94312,2.05871,0.83935,0.000154856,0.000154856,0.000154856
5,8.471,1.02936,1.239,0.95676,0.88021,0.66934,0.9607,0.96114,0.78018,0.66934,0.9607,0.96114,0.6212,0.74563,0.89713,1.65947,0.84186,0.000196099,0.000196099,0.000196099
6,10.0613,0.90636,1.10353,0.75788,0.87847,0.91653,0.94459,0.97761,0.80073,0.91653,0.94459,0.97761,0.64512,0.73527,0.84764,1.06769,0.82581,0.000236917,0.000236917,0.000236917
7,11.6269,0.94136,1.16991,0.75448,0.87418,0.90115,0.88662,0.97038,0.79524,0.90115,0.88662,0.97038,0.63725,0.72754,0.89177,0.87395,0.82917,0.000277312,0.000277312,0.000277312
8,13.1968,0.90663,1.12325,0.68131,0.8645,0.83542,0.95248,0.97583,0.8231,0.83542,0.95248,0.97583,0.65598,0.68789,0.81751,0.86193,0.82656,0.000317282,0.000317282,0.000317282
9,14.7637,0.86287,0.9989,0.63845,0.85482,0.95938,0.95971,0.98286,0.81347,0.95938,0.95971,0.98286,0.67707,0.69607,0.80899,0.6649,0.83638,0.000356827,0.000356827,0.000356827
10,16.3277,0.87399,1.05094,0.61951,0.857,0.94876,0.98203,0.97902,0.79848,0.94876,0.98203,0.97902,0.61995,0.72507,0.95824,0.62591,0.83436,0.000395948,0.000395948,0.000395948
11,17.9007,0.9074,1.11724,0.63178,0.85516,0.90733,0.95804,0.97476,0.75995,0.90648,0.96429,0.97426,0.62114,0.82586,0.83822,0.63287,0.84136,0.000434645,0.000434645,0.000434645
12,19.4296,0.92741,1.05496,0.62479,0.8652,0.95619,0.98126,0.98601,0.82911,0.95619,0.98126,0.98601,0.67062,0.64553,0.74983,0.5756,0.81783,0.000472917,0.000472917,0.000472917
